,game_id,home_gk_overall,home_dc_overall,home_mid_overall,home_st_overall,away_gk_overall,away_dc_overall,away_mid_overall,away_st_overall,homeScore,awayScore,matchResult
949,be058dce,63.0,73.8,75.33333333333333,66.5,63.0,66.33333333333333,73.33333333333333,66.0,1,0,Home
950,48110abe,68.0,60.666666666666664,61.5,72.0,62.0,68.0,66.0,72.66666666666667,1,3,Away
951,0014bad7,68.0,72.75,73.75,65.66666666666667,66.0,63.6,64.33333333333333,68.66666666666667,2,1,Home
952,e689158b,69.0,65.25,67.33333333333333,65.0,56.0,78.25,66.33333333333333,66.5,1,3,Away
953,a7af08ab,78.0,73.8,75.33333333333333,63.333333333333336,81.0,68.0,67.33333333333333,68.0,1,3,Away
954,9ab68fca,69.0,63.25,65.33333333333333,65.66666666666667,62.0,67.0,59.6,69.0,0,3,Away
955,9a4291a3,63.0,64.2,66.0,61.5,66.0,64.0,77.0,60.666666666666664,1,2,Away
956,41fd7764,78.0,66.16666666666667,66.33333333333333,65.0,69.0,72.0,67.33333333333333,84.25,2,5,Away
957,5224d2f5,62.0,60.8,61.5,65.0,62.0,68.2,66.66666666666667,69.0,3,1,Home
958,cfe3b5c3,69.0,67.5,66.2,66.5,70.0,67.0,63.666666666666664,66.66666666666667,2,2,Draw
959,b08c06e8,64.0,65.25,67.75,67.5,62.0,64.6,72.5,63.666666666666664,3,2,Home
960,bc7df752,63.0,64.25,65.33333333333333,70.75,66.0,67.0,66.0,74.0,8,0,Home
961,029be8be,70.0,74.75,67.5,74.0,81.0,67.0,67.0,64.0,2,1,Home
962,c9cde5e8,63.0,64.0,63.666666666666664,61.5,62.0,60.833333333333336,64.33333333333333,67.5,6,0,Home
963,bbecea98,56.0,60.5,63.0,73.5,68.0,63.6,66.0,66.5,2,3,Away
964,aed937f1,62.0,74.5,72.75,66.0,68.0,63.25,66.66666666666667,60.666666666666664,2,0,Home
965,d332b8cc,64.0,72.8,75.33333333333333,74.0,66.0,68.25,62.333333333333336,66.5,3,3,Draw
